,Volume,dfMLRPerDiff,WinReal,Strategy,Confidence
2022-01-26,-0.602,0.4972799851966796,False,Buy,0.9674418604651163
2022-01-27,-0.0028619785308837,0.5084295682744817,True,Buy,0.9720930232558139
2022-01-28,0.0208837966918945,0.4112787591012259,True,Buy,0.9534883720930233
2022-01-29,-0.602,0.3669555341883139,True,Buy,0.9441860465116279
2022-01-30,0.0124788861274719,0.2486035213058999,False,Buy,0.9023255813953488
2022-01-31,-0.602,0.2830020831448747,False,Buy,0.9302325581395349
2022-02-01,0.0361494998931885,0.2767140725736881,False,Buy,0.9302325581395349
2022-02-02,0.0083565692901611,0.3668998655387652,True,Buy,0.9395348837209302
2022-02-03,0.0253555755615234,0.3142117794522396,True,Buy,0.9302325581395349
2022-02-04,0.044397054195404,0.2090790736659589,True,Buy,0.8744186046511628
2022-02-05,0.0364428143501281,0.1504330314593853,True,Buy,0.7906976744186046
2022-02-06,0.0172313432693481,0.0929171235166281,True,Buy,0.6651162790697674
2022-02-07,0.0089048128128051,0.0342063051126637,False,Buy,0.413953488372093
2022-02-08,0.0036246757507324,0.0151815623957838,True,Buy,0.3209302325581395
2022-02-09,-0.602,-0.0394887070839271,False,Sell,0.5238095238095238
2022-02-10,-0.0003004093170165,0.0494477324969098,False,Buy,0.4604651162790698
2022-02-11,0.0420402865409851,0.1669999624598288,False,Buy,0.813953488372093
2022-02-12,-0.602,0.1264220189480407,False,Buy,0.7627906976744186
2022-02-13,-0.602,0.0856345004111089,True,Buy,0.6325581395348837
2022-02-14,-0.602,0.0410708736116418,True,Buy,0.42790697674418604
2022-02-15,0.0214056949615478,-0.0936743316054516,False,Buy,0.413953488372093
2022-02-16,-0.0186831970214843,-0.0712687743370016,False,Sell,0.6333333333333333
2022-02-17,0.0562721471786499,0.0272710750853637,False,Buy,0.6837209302325581
2022-02-18,0.0090802888870239,0.036668802386935,True,Buy,0.413953488372093
2022-02-19,-0.0594028849601745,0.0086431552208119,False,Buy,0.30697674418604654
2022-02-20,-0.602,0.0706159253463694,False,Buy,0.5674418604651162
2022-02-21,0.0425264220237732,0.1575292514220085,True,Buy,0.7953488372093023
2022-02-22,-0.0064858813285827,0.0951503217740645,False,Buy,0.6837209302325581
2022-02-23,-0.0213530678749084,0.1383920100873852,False,Buy,0.7813953488372093
2022-02-24,-0.016687693119049,0.1213332446971116,True,Buy,0.7534883720930232
2022-02-25,-0.0116394777297973,0.0185161556301463,True,Buy,0.34418604651162793
